Orientation: -180 degrees.
-1 -3 -1
-1 1 -1
-2 -1 -1
-2 -2 -1
2 1 -1
1 0 -1
1 -1 -1
1 2 -1
1 1 -1
0 -1 0
0 -2 0
0 -3 0
0 1 0
0 2 0
-1 0 0
-1 -1 0
-1 -2 0
-1 -3 0
-1 1 0
1 0 0
1 -1 0
1 -2 0
1 2 0
1 1 0
0 0 1
0 -1 1
0 -2 1
0 -3 1
0 1 1
0 2 1
-1 0 1
-1 -1 1
-1 -2 1
-1 -3 1
-1 1 1
-1 2 1
1 0 1
1 -1 1
1 -2 1
1 1 1
1 2 1
0 0 2
0 -1 2
0 -2 2
0 1 2
0 2 2
-1 0 2
-1 -1 2
-1 -2 2
-1 1 2
1 0 2
1 -1 2
1 -2 2
1 1 2
Orientation: 90 degrees.
0 0 -2
0 -1 -2
0 -2 -2
0 1 -2
0 2 -2
-1 0 -2
-1 -1 -2
-1 -2 -2
-1 1 -2
1 0 -2
1 -1 -2
1 2 -2
1 1 -2
0 0 -1
0 -1 -1
0 -2 -1
0 -3 -1
0 1 -1
0 2 -1
-1 0 -1
-1 -1 -1
-1 -2 -1
-1 -3 -1
-1 1 -1
1 0 -1
1 -1 -1
1 -2 -1
1 2 -1
1 1 -1
0 -1 0
0 -2 0
0 -3 0
0 1 0
0 2 0
-1 0 0
-1 -1 0
-1 -2 0
-1 -3 0
-1 1 0
-1 2 0
1 0 0
1 -1 0
1 -2 0
1 -3 0
1 1 0
1 2 0
0 0 1
0 -1 1
0 -2 1
0 -3 1
0 1 1
0 2 1
-1 0 1
-1 -1 1
-1 -2 1
-1 2 1
-1 1 1
1 0 1
1 -1 1
1 -2 1
1 -3 1
1 1 1
0 0 2
0 -1 2
0 -2 2
0 1 2
0 2 2
-1 0 2
-1 -1 2
-1 2 2
-1 1 2
1 0 2
1 -1 2
1 -2 2
1 1 2
Orientation: 105 degrees.
0 0 -2
0 -1 -2
0 -2 -2
0 1 -2
0 2 -2
-1 0 -2
-1 -1 -2
-1 -2 -2
-1 1 -2
1 0 -2
1 -1 -2
1 -2 -2
1 1 -2
0 0 -1
0 -1 -1
0 -2 -1
0 -3 -1
0 1 -1
0 2 -1
-1 0 -1
-1 -1 -1
-1 -2 -1
-1 1 -1
-1 2 -1
1 0 -1
1 -1 -1
1 -2 -1
1 -3 -1
1 1 -1
1 2 -1
0 -1 0
0 -2 0
0 -3 0
0 1 0
0 2 0
-1 0 0
-1 -1 0
-1 -2 0
-1 2 0
-1 1 0
1 0 0
1 -1 0
1 -2 0
1 -3 0
1 1 0
0 0 1
0 -1 1
0 -2 1
0 -3 1
0 1 1
0 2 1
-1 0 1
-1 -1 1
-1 2 1
-1 1 1
-2 1 1
2 -1 1
2 -2 1
1 0 1
1 -1 1
1 -2 1
1 -3 1
1 1 1
0 0 2
0 -1 2
0 -2 2
0 2 2
0 1 2
-1 0 2
-1 -1 2
-1 2 2
-1 1 2
2 -1 2
2 -2 2
1 0 2
1 -1 2
1 -2 2
1 1 2
Orientation: 120 degrees.
0 0 -2
0 -1 -2
0 -2 -2
0 1 -2
0 2 -2
-1 0 -2
-1 -1 -2
-1 -2 -2
-1 1 -2
-1 2 -2
1 0 -2
1 -1 -2
1 -2 -2
1 1 -2
0 0 -1
0 -1 -1
0 -2 -1
0 -3 -1
0 1 -1
0 2 -1
-1 0 -1
-1 -1 -1
-1 2 -1
-1 1 -1
2 -2 -1
1 0 -1
1 -1 -1
1 -2 -1
1 -3 -1
1 1 -1
0 -1 0
0 -2 0
0 1 0
0 2 0
-1 0 0
-1 -1 0
-1 2 0
-1 1 0
-2 1 0
2 -1 0
2 -2 0
1 0 0
1 -1 0
1 -2 0
1 -3 0
1 1 0
0 0 1
0 -1 1
0 -2 1
0 2 1
0 1 1
-1 0 1
-1 -1 1
-1 2 1
-1 1 1
-2 1 1
2 -1 1
2 -2 1
1 0 1
1 -1 1
1 -2 1
1 1 1
0 0 2
0 -1 2
0 1 2
-1 0 2
-1 -1 2
-1 2 2
-1 1 2
-2 0 2
1 0 2
1 -1 2
1 -2 2
1 1 2
2 0 2
2 -1 2
2 -2 2
Orientation: 135 degrees.
0 0 -2
0 -1 -2
0 -2 -2
0 1 -2
0 2 -2
-1 0 -2
-1 -1 -2
-1 2 -2
-1 1 -2
1 0 -2
1 -1 -2
1 -2 -2
1 1 -2
0 0 -1
0 -1 -1
0 -2 -1
0 1 -1
0 2 -1
-1 0 -1
-1 -1 -1
-1 2 -1
-1 1 -1
-2 1 -1
2 -1 -1
2 -2 -1
1 0 -1
1 -1 -1
1 -2 -1
1 1 -1
0 -1 0
0 -2 0
0 2 0
0 1 0
-1 0 0
-1 -1 0
-1 2 0
-1 1 0
-2 0 0
-2 1 0
2 0 0
2 -1 0
2 -2 0
1 0 0
1 -1 0
1 -2 0
1 1 0
0 0 1
0 -1 1
0 1 1
-1 0 1
-1 -1 1
-1 2 1
-1 1 1
-2 0 1
-2 1 1
1 0 1
1 -1 1
1 -2 1
1 1 1
2 0 1
2 -1 1
2 -2 1
0 0 2
0 -1 2
0 1 2
-1 0 2
-1 -1 2
-1 1 2
-2 0 2
-2 1 2
1 0 2
1 -1 2
1 1 2
2 0 2
2 -1 2
Orientation: 150 degrees.
0 0 2
0 -1 2
0 1 2
-1 0 2
-1 -1 2
-1 1 2
-2 0 2
-2 1 2
1 0 2
1 -1 2
1 1 2
2 0 2
2 -1 2
2 1 2
0 0 -2
0 -1 -2
0 -2 -2
0 1 -2
0 2 -2
-1 0 -2
-1 -1 -2
-1 1 -2
-2 1 -2
2 -1 -2
2 -2 -2
1 0 -2
1 -1 -2
1 -2 -2
1 1 -2
0 0 -1
0 -1 -1
0 1 -1
-1 0 -1
-1 -1 -1
-1 2 -1
-1 1 -1
-2 0 -1
-2 1 -1
2 0 -1
2 -1 -1
2 -2 -1
1 0 -1
1 -1 -1
1 -2 -1
1 1 -1
0 -1 0
0 1 0
-1 0 0
-1 -1 0
-1 2 0
-1 1 0
-2 0 0
-2 1 0
1 0 0
1 -1 0
1 -2 0
1 1 0
3 -1 0
2 0 0
2 -1 0
2 -2 0
0 0 1
0 -1 1
0 1 1
-1 0 1
-1 -1 1
-1 1 1
-2 0 1
-2 1 1
1 0 1
1 -1 1
1 1 1
3 0 1
3 -1 1
2 0 1
2 -1 1
2 -2 1
Orientation: 165 degrees.
0 0 1
0 -1 1
0 1 1
-1 0 1
-1 -1 1
-1 1 1
-2 0 1
-2 -1 1
-2 1 1
1 0 1
1 -1 1
1 1 1
3 0 1
3 -1 1
2 0 1
2 -1 1
2 1 1
0 0 2
0 -1 2
0 1 2
-1 0 2
-1 -1 2
-1 1 2
-2 0 2
1 0 2
1 -1 2
1 1 2
2 0 2
2 -1 2
2 1 2
0 0 -2
0 -1 -2
0 1 -2
-1 0 -2
-1 -1 -2
-1 1 -2
-2 0 -2
-2 1 -2
2 0 -2
2 -1 -2
2 -2 -2
1 0 -2
1 -1 -2
1 -2 -2
1 1 -2
0 0 -1
0 -1 -1
0 1 -1
-1 0 -1
-1 -1 -1
-1 2 -1
-1 1 -1
-2 0 -1
-2 1 -1
1 0 -1
1 -1 -1
1 -2 -1
1 1 -1
3 0 -1
3 -1 -1
2 0 -1
2 -1 -1
2 -2 -1
0 -1 0
0 1 0
-1 0 0
-1 -1 0
-1 1 0
-2 0 0
-2 1 0
1 0 0
1 -1 0
1 1 0
3 0 0
3 -1 0
2 0 0
2 -1 0
2 1 0
